,0
HTTPS,0.3375056554433423
AnchorURL,0.23385946468290983
WebsiteTraffic,0.07567159841659137
SubDomains,0.06418639016146413
PrefixSuffix-,0.04287691861862968
LinksInScriptTags,0.04098445520984784
ServerFormHandler,0.022269626735440893
RequestURL,0.018604490340866517
LinksPointingToPage,0.018191395405196223
DomainRegLen,0.0162943894494176
AgeofDomain,0.015944438387954545
UsingIP,0.012632912056183613
PageRank,0.01208976997052827
DNSRecording,0.011826055650000885
GoogleIndex,0.011556566930952994
LongURL,0.007938274628963692
HTTPSDomainURL,0.006003105464700647
WebsiteForwarding,0.005625027111235297
InfoEmail,0.005322561992858056
Symbol@,0.005120368552274973
ShortURL,0.005103715400887528
StatsReport,0.004894559791625905
UsingPopupWindow,0.004625535846054578
AbnormalURL,0.004449145711284409
Favicon,0.004068695590080803
Redirecting//,0.003295921542651946
StatusBarCust,0.003095209715596681
IframeRedirection,0.0023122539381819226
NonStdPort,0.002291289479049829
DisableRightClick,0.0013602077752270494
